position,username,language,rank,enlightenment,solved
1,dmgoldobin,Java,cardinal,1.926.41,214
2,JimmyCarlos,Python,cardinal,1.912.56,214
3,Photon,C/C++,cardinal,1.911.98,214
4,Moff,Python,cardinal,1.910.03,213
5,Gintaras_S,C/C++,cardinal,1.905.77,213
6,gukz6841,C#,cardinal,1.896.32,214
7,Guy Gervais,VB,cardinal,1.875.63,211
8,Signum_X,C#,cardinal,1.871.99,211
9,Taliesin2015,C#,cardinal,1.865.60,212
10,Alexandr Milovantsev,Python,cardinal,1.862.34,210
11,goto,C/C++,cardinal,1.859.87,209
12,Kenshin,Python,cardinal,1.851.31,211
13,camel_case,C/C++,cardinal,1.847.48,210
14,silentsoul,C#,cardinal,1.840.66,209
15,Pythagoras,C#,cardinal,1.833.78,209
16,openmind,Python,cardinal,1.829.45,209
17,MissPython,C/C++,cardinal,1.828.51,207
18,Vladimir_V,Java,cardinal,1.824.02,208
19,laurentypetit,Python,cardinal,1.815.21,207
20,Quandray,C/C++,frost enchanter,1.788.78,204
21,Hennes,Haskell,frost enchanter,1.741.26,202
22,jpb_spargel,Python,frost enchanter,1.739.14,202
23,johnnycake,Other,frost enchanter,1.690.74,197
24,nicolas_patrois,Python,frost enchanter,1.689.91,198
25,Dmytro Pryhornytskyi,C/C++,frost enchanter,1.661.21,195
26,blue_meeny,Python,frost enchanter,1.619.98,191
27,bluknite,Scala,frost enchanter,1.616.66,192
28,asd654,C#,frost enchanter,1.606.05,191
29,gunsmoke,C/C++,frost enchanter,1.602.96,189
30,Eugene Lim,C/C++,frost enchanter,1.580.91,189
31,igor_sekretarev,Python,frost enchanter,1.576.22,188
32,One_liner,Python,the doctor,1.573.85,184
33,Vladislav  Kondratov,JavaScript,frost enchanter,1.567.28,188
34,abihle,Java,frost enchanter,1.565.89,188
35,TheUlit,Java,frost enchanter,1.565.08,186
36,relativity,Java,the doctor,1.406.48,175
37,Absurdis,Python,the doctor,1.406.11,174
38,RandyWaterhouse,Python,the doctor,1.403.46,171
39,JamBoltheads,Python,the doctor,1.392.64,174
40,cire,Swift,the doctor,1.382.24,172
41,Tyro,Python,the doctor,1.376.58,171
42,DimonMIPT,C/C++,the doctor,1.374.64,171
43,matthias,JavaScript,the doctor,1.372.01,168
44,codehub,Python,the doctor,1.339.46,167
45,the_yato,Python,the doctor,1.335.27,167
46,jcgillet,Python,the doctor,1.334.80,169
47,Serenade,Java,the doctor,1.319.54,165
48,Mohamed Aziz,Python,the doctor,1.298.78,165
49,tonychamberlain,C#,the doctor,1.296.11,165
50,Mastermind,C#,stargazer,1.291.15,164
